ip,date,method,address,protocol,status,bytes
199.72.81.55,30-06-1995 20:00:01,GET,/history/apollo/,HTTP/1.0,200,6245
unicomp6.unicomp.net,30-06-1995 20:00:06,GET,/shuttle/countdown/,HTTP/1.0,200,3985
199.120.110.21,30-06-1995 20:00:09,GET,/shuttle/missions/sts-73/mission-sts-73.html,HTTP/1.0,200,4085
205.212.115.106,30-06-1995 20:00:12,GET,/shuttle/countdown/countdown.html,HTTP/1.0,200,3985
d104.aa.net,30-06-1995 20:00:13,GET,/shuttle/countdown/,HTTP/1.0,200,3985
129.94.144.152,30-06-1995 20:00:13,GET,/,HTTP/1.0,200,7074
ppptky391.asahi-net.or.jp,30-06-1995 20:00:18,GET,/facts/about_ksc.html,HTTP/1.0,200,3977
205.189.154.54,30-06-1995 20:00:24,GET,/shuttle/countdown/,HTTP/1.0,200,3985
waters-gw.starway.net.au,30-06-1995 20:00:25,GET,/shuttle/missions/51-l/mission-51-l.html,HTTP/1.0,200,6723
ppp-mia-30.shadow.net,30-06-1995 20:00:27,GET,/,HTTP/1.0,200,7074
ix-orl2-01.ix.netcom.com,30-06-1995 20:00:41,GET,/shuttle/countdown/,HTTP/1.0,200,3985
gayle-gaston.tenet.edu,30-06-1995 20:00:50,GET,/shuttle/missions/sts-71/mission-sts-71.html,HTTP/1.0,200,12040
199.72.81.55,30-06-1995 20:00:59,GET,/history/,HTTP/1.0,200,1382
port26.annex2.nwlink.com,30-06-1995 20:01:02,GET,/software/winvn/winvn.html,HTTP/1.0,200,9867
205.189.154.54,30-06-1995 20:01:08,GET,/shuttle/missions/sts-71/images/images.html,HTTP/1.0,200,7634
www-a1.proxy.aol.com,30-06-1995 20:01:09,GET,/shuttle/countdown/,HTTP/1.0,200,3985
205.212.115.106,30-06-1995 20:01:13,GET,/shuttle/missions/sts-71/images/images.html,HTTP/1.0,200,7634
205.189.154.54,30-06-1995 20:01:19,GET,/shuttle/missions/sts-71/images/ksc-95ec-0423.txt,HTTP/1.0,200,1224
smyth-pc.moorecap.com,30-06-1995 20:01:24,GET,/history/apollo/apollo-spacecraft.txt,HTTP/1.0,200,2261
slip1.yab.com,30-06-1995 20:01:26,GET,/shuttle/resources/orbiters/endeavour.html,HTTP/1.0,200,6168
link097.txdirect.net,30-06-1995 20:01:26,GET,/shuttle/missions/missions.html,HTTP/1.0,200,8677
remote27.compusmart.ab.ca,30-06-1995 20:01:27,GET,/shuttle/countdown/,HTTP/1.0,200,3985
onyx.southwind.net,30-06-1995 20:01:34,GET,/shuttle/countdown/countdown.html,HTTP/1.0,200,3985
unicomp6.unicomp.net,30-06-1995 20:01:41,GET,/htbin/cdt_main.pl,HTTP/1.0,200,3214
199.72.81.55,30-06-1995 20:01:43,GET,/,HTTP/1.0,200,7074
link097.txdirect.net,30-06-1995 20:01:44,GET,/shuttle/missions/sts-78/mission-sts-78.html,HTTP/1.0,200,4377
gater4.sematech.org,30-06-1995 20:01:46,GET,/shuttle/countdown/,HTTP/1.0,200,3985
ix-or10-06.ix.netcom.com,30-06-1995 20:01:52,GET,/software/winvn/userguide/wvnguide.html,HTTP/1.0,200,5998
remote27.compusmart.ab.ca,30-06-1995 20:01:55,GET,/shuttle/missions/sts-71/images/images.html,HTTP/1.0,200,7634
link097.txdirect.net,30-06-1995 20:01:55,GET,/shuttle/resources/orbiters/columbia.html,HTTP/1.0,200,6922
dave.dev1.ihub.com,30-06-1995 20:01:55,GET,/shuttle/countdown/,HTTP/1.0,200,3985
netport-27.iu.net,30-06-1995 20:01:57,GET,/,HTTP/1.0,200,7074
bart-slip1.llnl.gov,30-06-1995 20:01:59,GET,/shuttle/missions/missions.html,HTTP/1.0,200,8677
dd14-046.compuserve.com,30-06-1995 20:02:05,GET,/shuttle/countdown/,HTTP/1.0,200,3985
199.33.32.50,30-06-1995 20:02:12,GET,/shuttle/countdown/liftoff.html,HTTP/1.0,200,4538
dynip42.efn.org,30-06-1995 20:02:15,GET,/software/,HTTP/1.0,200,689
waters-gw.starway.net.au,30-06-1995 20:02:16,GET,/shuttle/missions/51-l/51-l-info.html,HTTP/1.0,200,1387
lmsmith.tezcat.com,30-06-1995 20:02:16,GET,/shuttle/countdown/,HTTP/1.0,200,3985
unicomp6.unicomp.net,30-06-1995 20:02:17,GET,/facilities/lcc.html,HTTP/1.0,200,2489
ppp-nyc-3-1.ios.com,30-06-1995 20:02:25,GET,/shuttle/missions/sts-71/images/ksc-95ec-0918.txt,HTTP/1.0,200,1391
gayle-gaston.tenet.edu,30-06-1995 20:02:25,GET,/shuttle/countdown/,HTTP/1.0,200,3985
pme607.onramp.awinc.com,30-06-1995 20:02:25,GET,/shuttle/missions/sts-71/sts-71-day-04-highlights.html,HTTP/1.0,200,5544
dynip42.efn.org,30-06-1995 20:02:26,GET,/software/winvn/,HTTP/1.0,200,2244
usr7-dialup46.chicago.mci.net,30-06-1995 20:02:35,GET,/shuttle/missions/,HTTP/1.0,200,12283
dynip42.efn.org,30-06-1995 20:02:39,GET,/software/winvn/winvn.html,HTTP/1.0,200,9867
ix-or10-06.ix.netcom.com,30-06-1995 20:02:42,GET,/software/winvn/,HTTP/1.0,200,2244
gater4.sematech.org,30-06-1995 20:02:43,GET,/shuttle/missions/sts-71/images/images.html,HTTP/1.0,200,7634
remote27.compusmart.ab.ca,30-06-1995 20:02:55,GET,/shuttle/missions/sts-71/images/ksc-95ec-0868.txt,HTTP/1.0,200,657
waters-gw.starway.net.au,30-06-1995 20:02:57,GET,/shuttle/missions/51-l/images/,HTTP/1.0,200,1038
brandt.xensei.com,30-06-1995 20:02:57,GET,/shuttle/missions/sts-71/mission-sts-71.html,HTTP/1.0,200,12040
slip1.yab.com,30-06-1995 20:03:00,GET,/shuttle/missions/sts-49/mission-sts-49.html,HTTP/1.0,200,9379
dd11-054.compuserve.com,30-06-1995 20:03:01,GET,/,HTTP/1.0,200,7074
onyx.southwind.net,30-06-1995 20:03:02,GET,/shuttle/countdown/tour.html,HTTP/1.0,200,4347
gayle-gaston.tenet.edu,30-06-1995 20:03:11,GET,/shuttle/missions/sts-71/images/images.html,HTTP/1.0,200,7634
129.188.154.200,30-06-1995 20:03:12,GET,/facts/about_ksc.html,HTTP/1.0,200,3977
ppp-nyc-3-1.ios.com,30-06-1995 20:03:13,GET,/shuttle/missions/sts-71/movies/movies.html,HTTP/1.0,200,3092
link097.txdirect.net,30-06-1995 20:03:13,GET,/shuttle/missions/sts-65/mission-sts-65.html,HTTP/1.0,200,130811
lmsmith.tezcat.com,30-06-1995 20:03:14,GET,/shuttle/missions/sts-71/images/images.html,HTTP/1.0,200,7634
charger.execpc.com,30-06-1995 20:03:15,GET,/shuttle/missions/missions.html,HTTP/1.0,200,8677
pipe6.nyc.pipeline.com,30-06-1995 20:03:25,GET,/shuttle/missions/sts-71/movies/movies.html,HTTP/1.0,200,3092
ix-or10-06.ix.netcom.com,30-06-1995 20:03:26,GET,/software/,HTTP/1.0,200,689
midcom.com,30-06-1995 20:03:31,GET,/history/apollo/apollo-13/apollo-13.html,HTTP/1.0,200,18114
isdn6-34.dnai.com,30-06-1995 20:03:31,GET,/shuttle/missions/sts-68/mission-sts-68.html,HTTP/1.0,200,49087
ix-or10-06.ix.netcom.com,30-06-1995 20:03:34,GET,/software/winvn/readme.txt,HTTP/1.0,200,5736
isdn6-34.dnai.com,30-06-1995 20:03:36,GET,/shuttle/resources/orbiters/endeavour.html,HTTP/1.0,200,6168
dd11-054.compuserve.com,30-06-1995 20:03:36,GET,/shuttle/missions/missions.html,HTTP/1.0,200,8677
isdn6-34.dnai.com,30-06-1995 20:03:40,GET,/shuttle/missions/sts-68/mission-sts-68.html,HTTP/1.0,200,49087
bos1d.delphi.com,30-06-1995 20:03:43,GET,/history/apollo/apollo-13/apollo-13.html,HTTP/1.0,200,18114
charger.execpc.com,30-06-1995 20:03:47,GET,/history/history.html,HTTP/1.0,200,1502
ix-ftw-tx1-24.ix.netcom.com,30-06-1995 20:03:48,GET,/shuttle/countdown/countdown.html,HTTP/1.0,200,3985
isdn6-34.dnai.com,30-06-1995 20:03:51,GET,/facilities/lc39a.html,HTTP/1.0,200,7008
205.189.154.54,30-06-1995 20:03:51,GET,/shuttle/missions/sts-71/images/images.html,HTTP/1.0,200,7634
129.188.154.200,30-06-1995 20:03:58,GET,/,HTTP/1.0,200,7074
www-a1.proxy.aol.com,30-06-1995 20:04:10,GET,/shuttle/missions/sts-71/mission-sts-71.html,HTTP/1.0,200,12040
charger.execpc.com,30-06-1995 20:04:12,GET,/history/apollo/apollo.html,HTTP/1.0,200,3258
unicomp6.unicomp.net,30-06-1995 20:04:16,GET,/ksc.html,HTTP/1.0,200,7074
news.ti.com,30-06-1995 20:04:18,GET,/ksc.html,HTTP/1.0,200,7074
teleman.pr.mcs.net,30-06-1995 20:04:23,GET,/shuttle/missions/sts-67/mission-sts-67.html,HTTP/1.0,200,21408
129.94.144.152,30-06-1995 20:04:25,GET,/shuttle/technology/sts-newsref/stsref-toc.html,HTTP/1.0,200,84907
link097.txdirect.net,30-06-1995 20:04:26,GET,/shuttle/technology/sts-newsref/stsref-toc.html,HTTP/1.0,200,84907
onyx.southwind.net,30-06-1995 20:04:27,GET,/shuttle/technology/sts-newsref/centers.html,HTTP/1.0,200,71024
ix-war-mi1-20.ix.netcom.com,30-06-1995 20:04:27,GET,/shuttle/missions/sts-69/mission-sts-69.html,HTTP/1.0,200,4325
129.188.154.200,30-06-1995 20:04:27,GET,/shuttle/missions/sts-71/mission-sts-71.html,HTTP/1.0,200,12040
slip1.yab.com,30-06-1995 20:04:28,GET,/history/history.html,HTTP/1.0,200,1502
savvy1.savvy.com,30-06-1995 20:04:30,GET,/shuttle/missions/missions.html,HTTP/1.0,200,8677
slip1.yab.com,30-06-1995 20:04:32,GET,/history/rocket-history.txt,HTTP/1.0,200,26990
pme607.onramp.awinc.com,30-06-1995 20:04:38,GET,/shuttle/missions/sts-71/mission-sts-71.html,HTTP/1.0,200,12040
bart-slip1.llnl.gov,30-06-1995 20:04:40,GET,/shuttle/technology/sts-newsref/stsref-toc.html,HTTP/1.0,200,84907
ad03-031.compuserve.com,30-06-1995 20:04:40,GET,/facilities/vab.html,HTTP/1.0,200,4045
ix-sd11-26.ix.netcom.com,30-06-1995 20:04:44,GET,/shuttle/countdown/,HTTP/1.0,200,3985
ix-war-mi1-20.ix.netcom.com,30-06-1995 20:04:48,GET,/shuttle/missions/sts-78/mission-sts-78.html,HTTP/1.0,200,4377
199.166.39.14,30-06-1995 20:04:52,GET,/shuttle/countdown/,HTTP/1.0,200,3985
