,number_of_occurences
/shuttle/countdown/,1877
/shuttle/missions/sts-71/images/images.html,1075
/shuttle/missions/sts-71/mission-sts-71.html,1032
/,824
/ksc.html,695
/shuttle/countdown/liftoff.html,649
/shuttle/missions/missions.html,633
/htbin/cdt_main.pl,312
/shuttle/missions/sts-71/movies/movies.html,306
/history/apollo/apollo.html,301
/history/apollo/apollo-13/apollo-13.html,247
/history/history.html,247
/shuttle/countdown/countdown.html,240
/shuttle/technology/sts-newsref/stsref-toc.html,224
/shuttle/resources/orbiters/atlantis.html,222
/htbin/cdt_clock.pl,174
/software/winvn/winvn.html,158
/shuttle/countdown/lps/fr.html,140
/shuttle/missions/sts-67/mission-sts-67.html,128
/history/apollo/apollo-13/apollo-13-info.html,119
/history/apollo/apollo-11/apollo-11.html,118
/facilities/lc39a.html,113
/shuttle/missions/sts-70/mission-sts-70.html,107
/shuttle/countdown/tour.html,105
/history/apollo/apollo-13/,91
/history/apollo/apollo-13/images/,87
/shuttle/missions/sts-71/news/,84
/shuttle/missions/sts-63/mission-sts-63.html,82
/htbin/wais.pl,81
/shuttle/missions/sts-78/mission-sts-78.html,73
/history/apollo/apollo-13/movies/,72
/shuttle/missions/sts-71/sts-71-day-04-highlights.html,67
/shuttle/missions/51-l/mission-51-l.html,66
/history/apollo/apollo-13/sounds/,63
/shuttle/technology/sts-newsref/sts_asm.html,62
/shuttle/resources/orbiters/challenger.html,61
/shuttle/missions/sts-67/images/images.html,60
/shuttle/missions/sts-66/mission-sts-66.html,56
/whats-new.html,55
/facts/about_ksc.html,55
/shuttle/resources/orbiters/endeavour.html,54
/history/apollo/apollo-spacecraft.txt,52
/images/,51
/shuttle/resources/orbiters/orbiters.html,50
/facilities/tour.html,50
/shuttle/resources/orbiters/columbia.html,50
/shuttle/missions/100th.html,50
/history/apollo/apollo-13/docs/,48
/shuttle/missions/sts-69/mission-sts-69.html,47
/shuttle/missions/sts-1/mission-sts-1.html,45
/history/mercury/mercury.html,45
/shuttle/missions/sts-71/sts-71-press-kit.txt,45
/history/gemini/gemini.html,44
/history/apollo/flight-summary.txt,43
/shuttle/resources/orbiters/discovery.html,43
/shuttle/missions/sts-71/sts-71-info.html,42
/shuttle/missions/sts-71/sts-71-day-05-highlights.html,41
/shuttle/missions/sts-71/sts-71-day-03-highlights.html,41
/history/apollo/apollo-13/sounds/a13_002.wav,39
/history/apollo/apollo-1/apollo-1.html,39
/shuttle/countdown/count.html,38
/shuttle/technology/sts-newsref/sts_overview.html,38
/shuttle/missions/sts-74/mission-sts-74.html,37
/shuttle/missions/sts-71/,35
/history/apollo/,35
/shuttle/missions/,35
/facilities/vab.html,33
/shuttle/resources/orbiters/enterprise.html,33
/shuttle/missions/51-l/,33
/shuttle/missions/51-l/51-l-info.html,32
/shuttle/missions/sts-68/mission-sts-68.html,32
/facilities/lcc.html,32
/shuttle/missions/sts-71/news/sts-71-mcc-06.txt,32
/elv/elvpage.htm,32
/history/skylab/skylab.html,31
/facts/facts.html,31
/shuttle/,30
/facilities/mlp.html,30
/shuttle/missions/sts-68/ksc-srl-image.html,30
/htbin/wais.pl?imax,29
/history/apollo/apollo-13/news/,29
/history/early-astronauts.txt,29
/shuttle/missions/sts-71/sts-71-day-01-highlights.html,29
/history/astp/astp.html,28
/shuttle/missions/sts-71/sts-71-day-02-highlights.html,28
/shuttle/missions/sts-65/mission-sts-65.html,27
/shuttle/missions/sts-73/mission-sts-73.html,27
/history/apollo/apollo-17/apollo-17.html,27
/history/apollo/apollo-13/sounds/a13_003.wav,26
/shuttle/missions/51-l/news/,25
/shuttle/technology/sts-newsref/sts_mes.html,25
/shuttle/missions/51-l/movies/,24
/history/apollo/apollo-1/apollo-1-info.html,24
/shuttle/technology/sts-newsref/sts_egress.html,23
/shuttle/missions/sts-72/mission-sts-72.html,23
/shuttle/technology/sts-newsref/sts-av.html,23
/shuttle/technology/sts-newsref/mission_profile.html,22
/shuttle/technology/sts-newsref/sts-mps.html,22
/history/apollo/apollo-13/sounds/a13_004.wav,22
/shuttle/missions/sts-71/images/ksc-95ec-0918.txt,22
/history/apollo/apollo-goals.txt,21
/history/apollo/apollo-8/apollo-8.html,21
/history/mercury/mr-3/mr-3.html,21
/history/apollo/apollo-10/apollo-10.html,21
/shuttle/technology/sts-newsref/sts-lcc.html,21
/shuttle/missions/51-l/images/,21
/shuttle/missions/sts-71/movies/,20
/shuttle/missions/sts-57/,20
/shuttle/technology/sts-newsref/srb.html,20
/shuttle/technology/sts-newsref/sts-cron.html,20
/shuttle/missions/sts-71/images/ksc-95ec-0917.txt,19
/history/rocket-history.txt,19
/history/apollo/apollo-9/apollo-9.html,19
/history/apollo/apollo-13/videos/,19
/shuttle/technology/sts-newsref/spacelab.html,19
/shuttle/missions/sts-77/mission-sts-77.html,18
/shuttle/missions/sts-71/images/ksc-95ec-0423.txt,18
/history/apollo/apollo-13/sounds/a13_001.wav,18
/shuttle/technology/sts-newsref/centers.html,17
/history/apollo/apollo-7/apollo-7.html,17
/shuttle/technology/sts-newsref/sts_coord.html,17
/htbin/wais.pl?sarex-ii,17
/shuttle/missions/sts-64/mission-sts-64.html,17
/shuttle/missions/sts-71/sounds/,17
/shuttle/missions/51-l/sounds/,17
/shuttle/technology/sts-newsref/stsover.html,16
/shuttle/missions/sts-61/mission-sts-61.html,16
/shuttle/missions/61-c/mission-61-c.html,16
/mdss/mdss.html,15
/history/apollo/apollo-12/apollo-12.html,15
/shuttle/missions/sts-26/mission-sts-26.html,15
/software/winvn/faq/winvnfaq-contents.html,15
/shuttle/technology/sts-newsref/stsover-prep.html,15
/shuttle/technology/sts-newsref/sts_sys.html,15
/msfc/astro_home.html,15
/shuttle/technology/sts-newsref/et.html,15
/history/apollo/apollo-sa.html,15
/shuttle/missions/sts-75/mission-sts-75.html,15
/history/apollo/apollo-1/,15
/shuttle/missions/sts-78/,14
/htbin/wais.pl?sts-71,14
/shuttle/missions/sts-71/images/,14
/facilities/opf.html,14
/facts/faq04.html,14
/history/apollo/apollo-11/apollo-11-info.html,14
/history/apollo/apollo-1/movies/,14
/history/apollo/apollo-13/sounds/a13_005.wav,13
/history/mercury/mercury-spacecraft.txt,13
/shuttle/countdown/lps/osr/osr.html,13
/persons/nasa-cm/jmd.html,13
/history/apollo/apollo-11/images/,13
/shuttle/missions/sts-69/,13
/shuttle/missions/sts-71/images/ksc-95ec-0915.txt,13
/shuttle/missions/51-j/mission-51-j.html,13
/history/mercury/ma-9/ma-9.html,12
/statistics/1995/jun/jun95.html,12
/history/mercury/mercury-goals.txt,12
/shuttle/missions/sts-59/mission-sts-59.html,12
/facts/faq12.html,12
/shuttle/missions/sts-71/images/ksc-95ec-0913.txt,12
/shuttle/missions/sts-78/news/,12
/history/apollo/apollo-17/apollo-17-info.html,12
/history/apollo/apollo-14/apollo-14.html,12
/shuttle/missions/sts-70/sts-70-press-kit.txt,12
/persons/astronauts/u-to-z/youngjw.txt,11
/history/mercury/ma-7/ma-7.html,11
/shuttle/missions/sts-71/news/sts-71-mcc-08.txt,11
/history/apollo/apollo-16/apollo-16.html,11
/history/mercury/mr-4/mr-4.html,11
/history/mercury/ma-6/ma-6.html,11
/shuttle/missions/sts-49/mission-sts-49.html,11
